Apartment_ID,Building Age,floor,Bedrooms ,Living room,Guest room,Bathroom,Kitchen,Storage ,Maid's room ,Terrace,Garden,Roof,Duplex,Balcony,size,city,location,furnished,furnishing_level(1-5),Price per SQM,price,floor_number,is_basement,total_rooms,amenities_score,price_per_sqm,city_enc,location_enc,predicted_price,error,error_pct,price_range
A001,6,-101,3,1,1,3,1,1,1,1,0,0,0,0,180,Amman,Marj Al Hammam,0,0,639.0,115020.0,0,1,9,3,639.0,1,59,114320.53932005774,699.4606799422618,0.61,80K-120K
A002,6,-102,3,1,1,3,1,1,1,0,1,0,0,1,181,Amman,Marj Al Hammam,0,0,652.0,118012.0,0,1,9,4,652.0,1,59,114848.57609570351,3163.423904296491,2.68,80K-120K
A003,6,101,3,1,1,3,1,1,1,1,0,0,0,0,181,Amman,Marj Al Hammam,0,0,604.0,109324.0,1,0,9,3,604.0,1,59,114149.86762859877,-4825.867628598775,-4.41,80K-120K
A004,6,102,3,1,1,3,1,1,1,1,0,0,0,0,183,Amman,Marj Al Hammam,0,0,623.0,114009.0,1,0,9,3,623.0,1,59,114260.68735231968,-251.68735231968458,-0.22,80K-120K
A005,6,111,3,1,1,3,1,1,1,0,0,0,0,1,184,Amman,Marj Al Hammam,0,0,598.0,110032.0,1,0,9,3,598.0,1,59,110764.33890970961,-732.3389097096078,-0.67,80K-120K
A006,6,112,3,1,1,3,1,1,1,0,0,0,0,1,185,Amman,Marj Al Hammam,0,0,596.0,110260.0,1,0,9,3,596.0,1,59,112486.32600925231,-2226.3260092523124,-2.02,80K-120K
A007,5,121,3,1,1,3,1,1,1,0,0,0,0,1,186,Amman,Marj Al Hammam,0,0,602.0,111972.0,1,0,9,3,602.0,1,59,104917.27159301267,7054.728406987328,6.3,80K-120K
A008,6,122,3,1,1,3,1,1,1,0,0,0,0,1,187,Amman,Marj Al Hammam,0,0,535.0,100045.0,1,0,9,3,535.0,1,59,104136.3861107858,-4091.3861107857956,-4.09,80K-120K
A009,6,131,3,1,1,4,1,1,1,1,0,1,1,1,260,Amman,Marj Al Hammam,0,0,481.0,125060.0,1,0,10,6,481.0,1,59,124418.50646211601,641.4935378839873,0.51,120K-180K
A010,6,132,3,1,1,4,1,1,1,1,0,1,0,1,260,Amman,Marj Al Hammam,0,0,404.0,105040.0,1,0,10,5,404.0,1,59,110118.45808726463,-5078.458087264633,-4.83,80K-120K
A011,5,-101,3,1,1,4,1,1,1,0,1,0,0,0,208,Amman,Marj Al Hammam,0,0,673.0,139984.0,0,1,10,3,673.0,1,59,120051.1793899587,19932.820610041294,14.24,120K-180K
A012,5,-102,3,1,1,4,1,1,1,1,0,0,0,0,210,Amman,Marj Al Hammam,0,0,595.0,124950.0,0,1,10,3,595.0,1,59,115061.47760468621,9888.52239531379,7.91,120K-180K
A013,5,101,3,1,1,4,1,1,1,1,0,0,0,0,216,Amman,Marj Al Hammam,0,0,648.0,139968.0,1,0,10,3,648.0,1,59,131774.5817479995,8193.418252000498,5.85,120K-180K
A014,5,102,3,1,1,4,1,1,1,1,0,0,0,0,215,Amman,Marj Al Hammam,0,0,628.0,135020.0,1,0,10,3,628.0,1,59,131774.5817479995,3245.418252000498,2.4,120K-180K
A015,5,111,3,1,1,4,1,1,1,0,0,0,0,1,216,Amman,Marj Al Hammam,0,0,542.0,117072.0,1,0,10,3,542.0,1,59,118736.65307096216,-1664.6530709621584,-1.42,80K-120K
A016,5,112,3,1,1,4,1,1,1,0,0,0,0,1,215,Amman,Marj Al Hammam,0,0,549.0,118035.0,1,0,10,3,549.0,1,59,118736.65307096216,-701.6530709621584,-0.59,80K-120K
A017,5,121,3,1,1,4,1,1,1,0,0,0,0,1,216,Amman,Marj Al Hammam,0,0,546.0,117936.0,1,0,10,3,546.0,1,59,118736.65307096216,-800.6530709621584,-0.68,80K-120K
A018,5,122,3,1,1,4,1,1,1,0,0,0,0,1,215,Amman,Marj Al Hammam,0,0,540.0,116100.0,1,0,10,3,540.0,1,59,118736.65307096216,-2636.6530709621584,-2.27,80K-120K
A019,5,131,4,1,1,5,1,1,1,0,0,1,1,1,259,Amman,Marj Al Hammam,0,0,541.0,140119.0,1,0,12,5,541.0,1,59,139589.39314207013,529.6068579298735,0.38,120K-180K
A020,5,132,3,1,1,5,1,1,1,1,0,1,1,1,262,Amman,Marj Al Hammam,0,0,531.0,139122.0,1,0,11,6,531.0,1,59,133111.50584660392,6010.494153396081,4.32,120K-180K
A021,7,-101,3,1,1,5,1,1,1,0,1,0,0,0,229,Amman,Marj Al Hammam,0,0,603.0,138087.0,0,1,11,3,603.0,1,59,143338.01159374762,-5251.011593747622,-3.8,120K-180K
A022,7,101,3,1,1,5,1,1,1,1,0,0,0,0,220,Amman,Marj Al Hammam,0,0,591.0,130020.0,1,0,11,3,591.0,1,59,130437.85811121012,-417.85811121012375,-0.32,120K-180K
A023,7,102,3,1,1,4,1,1,1,1,0,0,0,0,185,Amman,Marj Al Hammam,0,0,676.0,125060.0,1,0,10,3,676.0,1,59,118968.28162596087,6091.718374039134,4.87,120K-180K
A024,7,111,3,1,1,5,1,1,1,0,0,0,0,1,220,Amman,Marj Al Hammam,0,0,532.0,117040.0,1,0,11,3,532.0,1,59,118782.24539250681,-1742.2453925068112,-1.49,80K-120K
A025,7,112,3,1,1,4,1,1,1,0,0,0,0,1,185,Amman,Marj Al Hammam,0,0,560.0,103600.0,1,0,10,3,560.0,1,59,110996.0591569562,-7396.059156956195,-7.14,80K-120K
